Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
155.txt	1	163	42.04	54.87	29.63	99.00	163.00	12.88	87.12	49.69	17.18	9.20	6.13	0.00	2.45	0.61	0.00	7.98	8.59	8.59	8.59	6.75	7.36	0.61	19.02	7.98	2.45	0.00	1.23	1.84	7.98	7.98	0.00	0.00	0.00	0.00	7.98	0.61	0.61	1.23	1.23	7.98	1.84	0.00	2.45	3.07	1.84	2.45	9.20	8.59	0.61	0.00	4.91	4.91	0.00	0.00	0.00	5.52	0.61	1.23	1.23	3.68	0.00	3.07	15.34	1.23	10.43	1.84	4.29	4.29	0.00	0.61	0.00	0.00	0.61	0.00	2.45	0.00	0.61	0.61	0.61	0.61	7.98	0.00	0.00	0.00	0.00	0.00	0.00	3.07	0.00	4.91	0.00	0.00
83.txt	1	93	1.95	54.29	53.37	25.77	93.00	9.68	93.55	66.67	20.43	17.20	8.60	0.00	1.08	0.00	7.53	3.23	2.15	9.68	17.20	9.68	10.75	3.23	26.88	3.23	6.45	1.08	1.08	1.08	4.30	2.15	2.15	0.00	2.15	0.00	17.20	0.00	0.00	0.00	0.00	13.98	3.23	0.00	2.15	5.38	3.23	5.38	5.38	2.15	0.00	3.23	3.23	3.23	0.00	0.00	0.00	2.15	1.08	1.08	0.00	0.00	0.00	4.30	21.51	0.00	6.45	0.00	1.08	5.38	0.00	0.00	0.00	1.08	0.00	0.00	2.15	0.00	0.00	1.08	0.00	1.08	10.75	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	9.68	0.00	0.00
169.txt	1	342	32.39	41.90	56.16	83.10	342.00	12.57	92.11	60.53	20.76	10.82	6.73	0.00	2.05	0.00	2.05	9.94	5.56	15.79	10.23	8.77	7.89	0.58	16.96	6.43	3.80	0.88	1.17	4.09	6.14	4.68	1.46	1.17	0.00	0.00	6.14	0.00	0.29	0.00	0.29	8.77	0.58	0.88	1.46	2.05	1.46	2.92	6.14	3.80	1.75	0.58	2.63	1.75	0.00	0.00	0.29	4.97	1.46	1.17	2.34	0.88	0.00	3.80	13.16	1.17	13.16	1.75	7.89	3.51	0.88	0.58	0.00	0.00	0.00	0.00	0.58	0.00	0.29	0.00	0.29	0.00	4.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.68	0.00	0.00
97.txt	1	84	17.96	90.47	52.86	99.00	84.00	2.38	89.29	53.57	20.24	10.71	1.19	1.19	8.33	0.00	0.00	9.52	2.38	11.90	9.52	5.95	9.52	2.38	15.48	5.95	1.19	1.19	0.00	7.14	10.71	10.71	0.00	0.00	0.00	0.00	9.52	0.00	0.00	0.00	0.00	14.29	3.57	1.19	3.57	5.95	2.38	2.38	4.76	1.19	1.19	1.19	0.00	0.00	0.00	0.00	0.00	13.10	1.19	5.95	5.95	7.14	0.00	0.00	15.48	1.19	17.86	4.76	9.52	3.57	0.00	2.38	1.19	0.00	0.00	0.00	1.19	0.00	1.19	0.00	0.00	0.00	5.95	0.00	0.00	0.00	0.00	0.00	0.00	1.19	0.00	4.76	0.00	0.00
343.txt	1	522	30.15	23.33	56.83	95.04	522.00	10.54	85.44	54.98	20.69	11.30	8.81	0.57	0.96	0.19	0.77	9.39	5.36	11.69	8.43	5.75	9.00	0.96	15.52	5.36	3.83	1.34	1.72	2.49	5.75	5.17	0.57	0.38	0.00	0.38	4.60	0.00	0.19	0.19	0.00	11.49	1.15	1.72	0.57	2.68	2.11	3.64	4.41	1.92	0.19	0.00	4.41	2.11	0.38	0.00	1.15	4.98	1.53	0.38	0.96	2.30	0.00	4.02	10.54	1.53	9.20	1.34	3.26	4.79	0.57	1.72	0.38	0.38	0.19	0.00	1.15	0.00	0.00	0.00	0.96	0.19	4.60	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00	4.21	0.00	0.00
357.txt	1	96	43.14	50.00	68.89	99.00	96.00	17.71	90.62	52.08	13.54	11.46	8.33	0.00	2.08	0.00	1.04	2.08	8.33	10.42	8.33	10.42	9.38	0.00	16.67	5.21	5.21	1.04	2.08	3.12	7.29	7.29	0.00	0.00	0.00	0.00	8.33	0.00	1.04	0.00	1.04	9.38	1.04	2.08	1.04	3.12	2.08	2.08	6.25	6.25	0.00	0.00	4.17	1.04	0.00	0.00	0.00	8.33	3.12	3.12	2.08	1.04	0.00	1.04	11.46	1.04	13.54	2.08	3.12	7.29	3.12	4.17	0.00	0.00	1.04	0.00	1.04	0.00	0.00	1.04	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00	0.00	1.04	0.00	3.12	0.00	0.00
342.txt	1	218	15.24	85.43	50.67	76.61	218.00	9.17	88.07	51.83	19.27	12.84	4.59	3.21	3.21	0.00	1.83	6.42	4.59	8.72	10.55	8.72	9.17	0.46	16.97	7.34	1.38	1.38	0.46	7.80	4.59	3.67	0.92	0.00	0.00	0.00	10.55	0.46	0.00	0.46	0.00	9.63	0.92	1.38	0.46	4.13	1.38	1.38	5.05	3.21	0.46	0.92	2.75	0.92	0.00	0.00	1.38	10.09	4.13	0.00	0.92	5.05	0.00	6.88	10.55	3.67	14.68	0.92	10.09	3.67	0.46	2.29	0.46	0.00	0.00	0.00	1.38	0.00	0.00	0.92	0.00	0.46	7.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.80	0.00	0.00
168.txt	1	181	14.42	52.21	91.61	67.53	181.00	14.36	95.03	61.88	17.13	10.50	7.73	0.00	1.10	0.00	1.66	6.63	7.73	8.29	12.15	11.60	10.50	0.00	21.55	3.87	1.10	3.31	2.21	2.21	2.21	2.21	0.00	0.00	0.00	0.00	12.15	0.00	0.00	0.00	0.55	14.36	1.10	4.97	1.66	4.42	0.55	4.97	3.87	1.10	0.55	0.00	0.55	0.00	0.55	0.00	0.00	6.08	1.66	1.10	1.66	1.66	0.00	7.18	13.26	0.00	17.13	4.42	7.18	5.52	0.00	2.21	0.00	0.55	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.97	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	4.42	0.00	0.00
96.txt	1	182	5.97	62.91	41.95	99.00	182.00	14.84	87.91	58.24	21.43	11.54	7.14	0.55	3.30	0.00	0.55	9.89	2.20	8.79	13.19	9.34	8.24	1.10	20.33	8.79	1.65	0.55	1.65	1.10	9.34	9.34	0.00	0.00	0.00	0.00	12.09	0.00	1.10	0.00	1.10	12.64	2.20	1.10	1.65	3.85	1.65	4.40	3.30	1.10	0.55	1.65	4.40	3.30	0.55	0.00	0.00	4.95	1.10	0.55	0.55	3.85	0.00	1.10	20.33	0.00	7.69	1.65	2.75	3.30	1.10	0.55	0.00	0.55	0.00	0.00	0.55	0.00	0.00	0.00	0.55	0.00	9.34	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	8.24	0.00	0.00
154.txt	1	89	24.10	67.34	91.44	94.47	89.00	8.99	89.89	60.67	29.21	17.98	11.24	4.49	2.25	0.00	0.00	11.24	3.37	14.61	8.99	3.37	6.74	0.00	19.10	1.12	1.12	3.37	3.37	1.12	4.49	4.49	0.00	0.00	0.00	0.00	10.11	0.00	0.00	0.00	0.00	6.74	2.25	0.00	2.25	3.37	0.00	1.12	4.49	1.12	0.00	3.37	7.87	2.25	0.00	0.00	4.49	6.74	6.74	0.00	0.00	0.00	0.00	3.37	14.61	1.12	16.85	1.12	13.48	2.25	0.00	2.25	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.62	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	4.49	0.00	0.00
